"Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","score","gender","age","seconds_elapsed"
5,4,5,3,3,3,2,5,3,3,2,2,4,2,4,4,5,4,5,2,70,1,15,219
2,3,2,3,2,5,1,2,4,4,4,5,2,3,5,4,4,4,5,4,62,1,29,142
4,2,1,2,2,1,1,2,4,2,1,5,3,2,5,2,2,2,5,2,72,1,19,205
3,4,1,2,4,1,1,4,4,3,2,5,4,2,3,2,1,3,5,3,75,1,23,100
2,3,4,3,3,2,2,3,4,2,2,3,4,3,2,1,3,4,5,1,64,1,19,164
5,3,2,1,2,1,1,2,4,2,1,4,4,1,2,4,1,4,5,3,72,1,22,121
4,4,4,3,5,2,2,3,3,4,1,1,1,4,5,2,1,3,5,3,64,1,38,378
3,3,4,2,2,1,1,2,5,4,3,2,3,3,2,2,2,4,4,2,58,1,53,271
5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,1,5,92,1,29,296
2,4,4,4,2,4,2,2,5,4,1,2,2,3,4,5,3,3,3,1,50,1,22,165
3,3,3,5,2,1,1,1,1,2,2,2,3,2,3,2,2,1,5,2,62,2,42,151
2,2,4,4,1,3,1,1,5,4,1,2,1,2,1,1,2,2,3,2,48,1,33,123
5,5,2,2,5,2,1,5,3,4,1,2,2,2,4,2,1,4,5,4,77,1,22,118
1,2,3,3,2,4,3,4,5,5,2,3,2,3,2,2,2,4,4,1,51,2,22,198
4,3,5,1,5,4,4,4,4,3,2,5,5,2,4,5,2,4,5,3,68,1,18,162
4,2,3,3,3,4,1,4,4,3,2,5,3,2,3,2,1,4,4,2,65,1,22,147
3,2,3,4,4,2,2,4,4,4,2,4,4,2,3,1,2,3,4,2,65,1,20,117
4,2,2,2,4,3,2,5,4,4,2,4,5,2,2,3,3,4,5,2,70,2,18,147
2,2,5,5,4,4,3,3,5,4,2,3,2,3,2,2,2,2,3,2,48,2,19,155
3,4,3,4,2,4,2,4,4,4,4,2,1,3,3,4,2,4,4,2,53,1,31,133
2,4,2,5,3,2,1,4,3,3,1,5,2,1,1,1,2,3,5,3,69,1,18,155
3,3,3,3,3,3,3,3,3,3,3,4,1,2,2,3,3,1,4,4,59,1,22,119
1,1,4,4,1,2,2,1,5,4,3,2,1,3,2,2,2,2,3,1,42,1,26,257
3,5,3,2,4,1,2,4,1,1,1,4,3,1,5,1,1,5,4,5,84,1,27,189
4,2,4,4,3,2,2,1,3,2,3,1,1,2,4,4,2,2,5,2,55,1,36,145
4,2,3,3,1,2,3,1,3,3,2,4,3,2,2,4,3,2,4,4,59,1,50,405
2,3,2,2,3,2,1,3,1,2,1,4,3,2,3,1,3,4,5,4,77,1,22,237
5,4,3,1,4,2,1,3,2,3,1,3,4,2,3,2,2,4,5,2,76,3,30,180
4,4,2,2,4,4,4,3,2,2,2,5,5,2,4,3,2,4,4,4,74,2,16,107
3,4,3,2,3,1,2,2,4,4,2,2,2,1,3,1,4,2,4,2,65,2,26,201
3,3,2,4,2,2,2,2,5,3,2,5,4,3,2,0,3,4,4,1,64,1,47,126
5,5,5,1,5,1,1,5,5,1,1,5,5,1,5,1,1,5,5,5,88,1,18,114
1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,5,5,72,1,12,206
4,4,3,4,4,4,2,3,4,4,2,4,3,2,4,4,2,3,4,3,63,1,46,118
2,3,4,3,2,4,3,4,4,5,3,2,3,4,2,4,2,2,4,3,49,1,55,162
4,4,2,1,2,5,1,4,3,2,1,5,5,2,1,2,2,4,4,2,72,1,31,201
5,3,3,3,3,3,3,3,4,3,3,3,1,2,3,4,3,3,4,2,59,2,21,525
3,1,1,2,4,5,2,2,4,3,2,3,1,1,1,2,2,4,4,1,58,2,18,311
2,4,2,2,4,2,2,4,4,2,1,2,4,2,4,2,2,4,4,2,71,1,27,154
4,2,4,4,4,2,2,2,4,4,1,2,4,2,1,5,2,4,5,1,57,1,18,134
1,1,1,4,1,4,4,1,5,5,2,1,1,3,1,5,2,2,5,1,38,1,25,138
3,4,4,2,3,2,1,2,5,1,1,1,1,1,4,4,1,5,3,1,61,2,25,369
3,4,3,2,4,1,2,3,4,2,2,3,1,1,4,3,1,4,4,4,69,1,28,347
2,4,3,2,4,1,1,4,4,3,1,5,4,2,4,2,1,4,5,1,73,2,30,141
2,2,4,2,4,3,2,2,4,4,2,4,4,2,2,1,2,4,5,3,64,1,44,129
4,5,3,4,4,1,1,3,2,2,1,3,5,3,3,2,2,3,5,1,73,1,28,148
2,3,4,3,3,1,2,2,4,3,2,3,3,1,3,3,3,4,5,3,65,1,18,169
3,4,4,2,3,3,2,3,3,4,2,3,2,2,4,4,2,4,4,3,63,1,28,121
3,4,5,4,3,4,2,2,5,5,1,1,1,3,2,5,2,1,4,1,44,1,23,180
3,4,3,4,3,2,3,3,4,2,3,2,3,2,4,2,2,4,3,2,62,1,50,166
2,1,2,3,3,4,2,1,2,5,1,4,1,1,1,1,1,3,5,4,59,1,19,157
3,4,4,2,5,5,4,5,4,2,2,5,4,2,1,4,2,4,1,3,62,3,55,198
4,3,5,2,5,5,5,4,5,3,2,5,4,2,1,4,2,4,1,3,57,3,55,872
5,4,2,1,3,1,1,2,3,3,3,5,3,3,4,2,1,4,5,3,74,2,19,138
2,4,3,1,5,2,1,3,2,2,0,3,2,5,4,2,3,4,5,1,72,2,34,361
3,4,1,2,5,1,1,2,2,3,1,4,5,2,4,4,1,2,5,2,74,2,37,103
3,4,1,2,5,1,1,2,2,3,1,4,5,2,4,4,1,3,5,2,75,2,37,136
5,1,1,1,5,1,1,5,1,1,1,5,5,3,5,1,1,5,5,5,90,1,23,163
4,4,3,3,5,3,4,3,2,4,3,2,4,2,4,3,1,5,5,1,65,2,48,136
2,2,2,4,3,4,5,1,5,4,3,3,3,2,2,4,3,2,4,3,49,2,47,177
1,1,4,4,1,5,5,1,5,5,5,1,1,3,3,5,5,1,3,1,32,2,45,2487
5,5,2,1,5,2,5,1,2,5,1,5,5,2,4,1,2,4,5,2,76,2,24,147
4,3,2,4,4,4,0,4,0,4,4,1,3,3,3,2,0,0,3,2,58,1,22,1429
4,4,2,2,4,1,1,3,2,2,1,5,2,2,3,2,1,4,5,1,75,1,33,234
3,5,3,2,4,3,2,2,4,2,3,3,2,2,2,2,2,3,4,2,63,1,15,223
4,5,3,4,1,1,1,2,5,4,3,3,1,3,3,3,3,3,5,3,60,1,19,331
4,3,4,4,4,2,2,4,4,2,1,4,1,3,4,3,2,4,5,2,66,1,51,895
4,4,3,4,4,1,1,2,3,4,2,4,3,1,4,3,2,3,5,4,71,1,22,185
3,3,5,1,1,3,3,1,5,3,1,2,5,1,3,5,1,5,3,1,55,1,25,273
5,2,4,3,4,2,1,5,4,4,3,4,4,1,4,2,2,4,4,2,70,2,24,469
4,5,3,1,5,1,1,5,2,2,1,4,4,1,5,1,1,5,5,2,86,1,21,123
3,1,2,3,2,3,1,1,5,1,2,5,4,3,5,4,3,5,5,1,65,2,41,303
5,4,1,1,5,1,1,5,3,3,1,5,4,1,1,1,1,5,5,1,82,1,25,260
4,4,3,2,3,2,2,4,3,3,1,3,3,2,4,2,2,5,5,3,74,1,20,137
3,2,4,4,2,3,2,2,5,4,3,3,2,2,2,4,2,3,3,2,49,1,40,184
4,2,2,4,4,2,2,2,4,4,2,2,2,4,2,2,2,4,2,4,58,2,26,147
5,5,3,4,4,3,3,3,4,4,2,5,4,2,4,3,3,5,4,3,71,1,29,187
2,3,3,4,2,3,3,4,5,4,2,3,2,2,3,2,2,4,4,3,58,1,23,180
5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,96,1,23,89
3,5,2,1,4,2,1,3,2,2,3,3,2,2,4,4,2,3,4,2,70,1,23,235
3,4,4,3,2,2,2,3,2,3,3,2,4,2,4,3,2,3,2,3,62,1,21,295
3,5,3,4,3,2,2,4,4,4,2,4,5,2,4,3,3,4,2,3,68,2,30,312
3,2,4,2,4,4,3,2,5,4,1,1,2,2,3,5,3,4,5,2,55,1,24,210
5,5,1,3,3,3,4,5,3,3,1,5,3,1,3,2,3,3,4,5,77,1,22,214
5,0,3,2,4,1,1,3,2,4,1,4,4,3,4,2,1,4,5,1,70,1,17,127
4,3,3,2,4,2,1,3,2,3,1,5,4,2,4,2,2,5,3,4,77,2,17,100
2,4,2,2,3,2,2,3,3,2,2,4,2,1,3,1,2,3,4,2,69,1,58,196
3,2,1,2,5,2,2,2,5,4,4,2,1,1,2,4,3,1,4,2,56,1,21,185
1,4,4,3,4,2,2,4,5,5,2,3,2,3,4,5,1,5,5,2,58,1,27,214
1,4,4,3,4,2,2,4,5,5,2,3,2,3,4,5,1,5,5,2,58,3,27,309
5,5,5,5,5,1,1,1,5,1,1,5,5,1,3,1,1,5,5,5,78,1,24,194
5,3,3,2,3,2,2,4,3,3,2,4,4,2,3,2,2,3,4,4,72,1,22,781
4,4,1,3,5,1,1,4,2,2,1,5,4,1,3,1,1,3,5,3,82,1,16,247
5,2,2,3,4,4,2,1,5,4,2,2,2,2,3,2,2,4,5,1,59,1,19,255
4,5,1,1,3,1,1,2,1,1,1,4,3,2,4,2,1,4,5,4,82,1,20,207
2,2,4,4,2,5,3,1,4,4,3,2,1,3,3,4,4,2,4,2,45,2,24,218
5,4,1,1,4,1,1,5,1,1,1,5,3,1,4,1,1,5,5,3,89,1,26,116
3,2,3,4,2,3,2,3,5,3,4,4,2,3,2,4,2,4,4,1,52,1,22,127
1,4,3,5,1,2,2,2,5,4,2,2,2,2,3,3,4,4,5,1,55,1,20,173
5,4,2,1,5,1,1,2,3,2,1,4,5,1,4,2,4,4,5,3,85,1,19,211
2,4,4,4,3,4,4,2,5,4,4,2,2,4,2,4,4,4,4,1,47,1,64,478
3,4,3,1,3,4,3,4,5,5,2,1,1,1,1,1,5,5,2,5,63,1,22,155
4,1,3,2,3,4,3,4,5,4,2,2,1,3,1,4,3,4,4,2,53,1,17,181
5,5,1,1,5,1,1,5,1,1,1,5,4,2,4,2,1,5,4,4,90,1,22,101
1,4,3,3,2,4,4,4,4,2,2,4,2,4,5,2,3,4,4,1,60,2,23,217
2,4,4,2,4,2,2,5,5,2,1,5,2,2,2,5,1,5,1,1,61,1,26,401
5,4,4,1,1,2,2,5,5,1,1,5,5,1,5,3,1,5,5,5,80,2,33,648
4,2,4,2,4,3,2,4,4,4,2,3,2,3,4,3,3,3,4,2,62,1,21,312
1,1,2,4,2,3,3,1,4,4,2,2,3,3,2,3,3,2,1,3,47,2,19,358
2,4,2,3,4,2,2,2,5,4,3,4,4,3,2,2,2,2,5,4,63,1,47,196
3,5,2,4,4,5,5,4,5,2,2,2,2,2,2,4,4,2,4,5,60,2,45,154
4,2,4,2,3,2,2,2,4,2,2,4,3,1,4,2,2,3,5,1,66,1,28,153
2,2,2,3,2,2,2,2,2,4,2,3,4,2,4,1,2,4,5,4,68,2,53,425
4,5,2,1,5,2,1,5,3,2,1,5,5,3,4,2,2,4,5,2,83,2,16,106
2,4,2,2,2,2,2,2,4,2,2,2,4,2,4,2,2,2,2,4,64,1,19,184
4,4,3,2,4,1,1,2,1,2,3,4,2,2,5,4,1,4,5,3,73,1,21,110
4,4,4,1,4,4,2,3,5,4,2,5,4,1,3,4,1,5,5,2,67,2,21,225
4,4,5,4,2,4,4,4,5,4,2,2,4,2,4,4,1,4,5,5,59,1,21,133
4,2,2,2,1,2,2,2,3,4,1,2,1,2,3,4,3,4,4,2,60,1,21,570
4,2,2,2,1,2,2,2,3,4,1,2,1,2,3,1,1,4,4,5,64,1,21,598
5,4,2,1,4,2,2,1,3,1,2,2,4,2,4,2,2,5,5,4,77,2,24,126
3,3,5,1,4,4,2,4,5,4,2,4,4,2,4,1,2,4,5,2,67,1,16,176
4,4,2,3,4,1,2,4,2,2,4,5,4,2,4,2,2,4,5,4,78,1,24,77
4,2,3,3,4,3,2,3,2,2,1,4,4,3,2,2,2,4,5,2,69,1,24,135
4,2,3,3,4,3,2,3,2,2,1,4,4,3,2,2,2,4,5,2,69,1,24,147
2,1,2,4,2,4,4,2,5,5,1,2,1,2,2,2,4,2,4,4,51,2,56,981
5,3,2,1,2,1,1,1,3,2,1,1,1,1,3,4,2,2,5,1,64,2,37,181
4,4,4,3,4,4,2,5,4,2,2,5,2,2,4,4,2,4,5,5,71,1,24,187
4,4,4,4,2,2,2,2,4,4,1,2,2,2,4,4,4,4,3,2,60,1,40,255
2,2,4,4,2,5,2,2,4,3,2,2,2,2,4,4,4,4,3,1,52,2,9,196
4,2,5,4,4,3,2,5,4,4,2,2,1,2,2,5,2,4,5,1,55,1,42,231
3,4,2,2,4,2,1,2,5,4,1,2,2,2,5,2,3,3,4,4,69,1,19,369
4,2,1,1,3,1,2,2,3,1,1,5,2,2,4,2,1,4,4,2,73,1,30,255
5,1,2,1,4,2,1,5,4,3,1,5,4,3,3,1,1,2,2,3,71,1,23,311
2,2,4,3,3,4,2,1,4,4,1,2,1,3,3,4,4,4,5,1,53,1,21,118
2,3,3,2,3,4,2,2,3,4,2,4,2,2,4,3,3,4,4,3,63,1,25,216
4,5,3,1,3,2,1,2,4,4,2,4,2,1,4,5,1,2,4,1,63,2,21,202
4,5,4,1,4,2,1,4,2,1,1,5,5,1,4,1,1,5,5,5,87,1,17,246
3,2,2,2,4,3,2,2,4,4,2,5,2,4,0,3,3,2,4,1,56,2,23,168
4,4,3,4,5,3,2,4,3,2,4,4,5,2,4,2,2,2,5,4,72,2,21,264
3,2,5,4,4,5,5,2,5,5,2,1,1,4,3,4,3,2,3,3,42,1,32,184
5,1,2,2,3,1,2,4,2,3,2,4,5,2,3,2,1,4,5,4,75,2,26,383
4,4,4,2,4,4,3,4,4,0,2,4,2,2,4,4,2,5,4,2,68,1,34,163
5,4,2,3,4,1,2,5,2,5,1,4,2,1,4,3,2,4,5,4,77,1,20,117
3,4,1,2,4,1,1,4,1,2,1,4,2,2,4,1,1,5,5,4,82,1,37,182
2,4,4,2,3,4,2,1,4,3,1,4,2,2,4,4,2,2,4,1,57,2,21,169
4,2,4,2,3,4,1,3,5,4,1,4,2,4,4,3,5,2,0,3,58,2,36,394
1,1,3,3,2,4,2,1,5,4,3,2,1,2,2,3,4,1,5,1,46,1,36,369
2,3,5,3,2,1,4,4,5,5,2,3,2,3,3,5,4,4,4,4,56,2,24,266
2,3,5,3,2,5,3,1,5,5,1,3,1,2,3,2,0,4,2,1,45,1,40,509
2,4,1,3,4,3,1,4,3,3,2,2,3,2,3,4,2,2,4,2,64,1,21,1760
4,4,4,4,5,3,2,3,4,0,2,3,2,4,3,4,4,5,4,5,69,1,29,211
4,5,3,4,4,4,2,2,3,3,2,3,1,2,3,2,1,3,3,3,61,1,25,454
4,3,4,1,4,2,1,1,4,2,2,5,5,1,2,3,2,2,5,2,69,1,20,227
2,1,2,2,2,4,2,2,4,4,1,3,3,3,2,2,3,2,4,3,57,2,23,400
4,5,2,4,5,1,2,4,4,2,1,5,4,1,5,1,1,4,4,2,79,1,29,127
2,4,4,3,3,4,2,4,5,4,4,2,4,2,5,2,2,3,5,3,61,2,51,221
4,3,2,3,4,3,1,3,3,4,2,5,2,1,3,1,1,3,5,1,68,1,24,213
2,3,4,2,2,2,2,2,4,0,1,5,2,3,3,2,2,2,4,1,62,1,25,377
4,3,3,2,4,2,2,4,3,2,3,4,4,1,3,2,1,3,5,4,73,1,33,123
4,3,2,2,5,3,2,5,4,4,2,5,4,2,4,5,2,4,4,4,72,1,49,116
4,5,2,1,5,2,2,5,3,2,1,5,5,1,4,1,1,5,5,4,87,2,16,439
2,2,3,4,2,4,4,2,5,4,3,2,1,3,4,3,4,3,4,1,48,2,51,165
4,2,2,5,1,4,2,1,5,3,4,2,1,3,1,2,1,2,4,1,44,1,26,281
2,2,5,4,2,5,2,2,4,3,3,4,3,3,2,4,2,2,4,2,48,2,25,284
5,1,5,1,4,4,5,5,3,5,1,5,2,1,2,5,1,2,5,1,57,1,25,117
5,3,2,4,4,3,2,5,4,3,1,5,4,3,4,2,2,3,2,1,68,1,45,415
2,2,5,2,3,4,3,3,4,4,2,3,4,2,4,4,2,4,2,2,55,1,38,153
5,3,4,3,3,5,2,1,5,3,3,3,5,1,4,1,1,5,3,3,63,1,16,472
3,2,4,4,2,3,2,4,4,4,1,0,4,2,4,2,2,4,4,2,59,2,26,335
4,2,1,1,5,5,1,5,1,1,1,5,4,1,2,1,1,5,5,1,80,2,28,122
4,5,3,2,5,3,2,4,4,2,1,4,4,3,4,2,2,4,5,1,74,1,20,129
5,5,2,3,4,4,3,3,4,2,2,5,4,3,4,3,2,3,2,2,67,2,46,128
4,4,4,3,3,2,2,4,3,2,2,4,4,2,5,3,2,4,4,3,72,2,38,128
2,4,2,4,3,1,1,2,3,2,1,1,1,2,4,1,1,4,5,4,68,1,40,264
4,2,3,4,2,2,2,1,5,2,1,2,2,2,4,3,2,3,5,2,59,2,40,261
5,5,3,2,4,1,1,3,2,4,2,4,3,1,5,3,3,5,3,3,78,1,28,406
2,2,5,4,4,5,4,2,4,2,3,4,2,3,3,3,3,2,4,2,51,1,42,631
5,2,1,2,5,2,1,5,1,1,1,4,1,2,2,1,2,4,5,3,80,1,27,238
4,5,2,1,5,2,1,5,2,2,1,5,4,2,5,1,1,4,5,4,87,1,35,155
3,5,4,3,4,2,1,4,2,4,1,4,2,2,5,1,2,4,5,1,73,1,24,177
5,5,3,3,5,3,1,5,5,4,1,4,4,2,4,3,4,4,5,5,79,1,26,719
2,2,2,4,4,3,3,4,4,4,3,2,2,3,3,0,2,4,4,2,59,1,47,175
2,5,3,1,4,2,2,2,4,3,1,4,2,2,2,4,2,4,4,4,67,2,19,199
2,2,4,4,4,3,3,2,5,5,2,2,2,3,2,2,3,4,4,1,51,2,37,227
2,2,4,3,2,5,5,1,5,5,3,2,1,3,1,5,3,1,1,2,34,2,45,380
4,5,3,2,4,3,2,4,4,3,1,5,5,2,4,5,2,5,5,3,75,1,19,82
4,3,4,2,3,4,2,2,4,2,4,3,2,2,3,4,2,3,4,1,56,1,50,243
2,2,5,4,1,5,5,2,5,4,5,5,4,1,2,2,2,4,3,5,50,2,50,194
2,2,2,3,4,4,2,5,3,2,1,4,4,2,3,2,2,4,4,4,71,1,20,328
2,2,5,5,3,4,2,2,4,4,3,4,1,3,2,5,3,2,5,1,46,1,25,73
2,5,2,3,4,1,4,4,4,5,1,5,4,2,2,2,4,2,5,5,72,1,26,247
2,2,4,4,3,4,4,4,4,4,2,1,2,2,2,4,4,2,1,1,46,1,30,172
2,4,2,3,4,2,2,4,2,5,4,4,3,3,2,4,2,5,3,2,62,1,25,223
4,3,2,2,4,2,2,4,3,4,2,4,4,2,2,2,2,3,4,4,71,1,42,133
5,5,1,1,5,1,1,5,3,1,1,5,5,1,5,1,1,5,5,1,90,1,48,291
2,2,5,4,2,3,2,2,5,2,2,2,2,2,2,2,2,4,4,2,53,2,43,175
1,2,1,1,5,1,1,4,1,2,1,5,3,3,4,1,2,4,5,1,78,1,30,182
4,4,3,2,4,1,1,4,2,2,1,5,4,2,4,3,2,4,5,4,81,2,17,146
5,4,2,1,3,1,1,4,2,2,1,5,2,2,3,1,1,4,5,2,79,1,25,89
5,4,3,1,4,3,3,5,3,4,3,4,2,4,4,3,2,4,4,4,69,1,17,304
4,5,3,3,4,1,5,3,3,3,1,5,2,1,3,2,2,4,5,3,72,1,19,181
4,1,3,1,5,5,5,3,4,4,1,3,4,1,3,4,4,3,5,5,66,2,19,202
4,2,3,2,2,3,1,1,5,4,2,2,3,3,4,2,3,3,5,3,61,1,19,175
4,3,2,2,3,2,1,4,4,2,1,2,2,2,2,2,3,4,3,4,70,1,19,148
1,3,3,4,4,3,3,2,4,2,1,1,2,5,4,2,4,4,5,2,59,2,57,282
3,2,4,1,4,2,2,1,2,2,1,4,4,1,1,1,1,3,4,1,66,1,27,336
4,4,3,3,4,2,1,4,2,2,3,4,1,2,2,2,1,5,5,2,70,1,39,193
4,3,1,1,5,3,2,5,2,2,2,5,4,2,4,4,2,4,5,3,79,1,18,123
2,4,5,4,4,4,4,4,4,4,3,4,3,4,4,2,2,4,2,2,55,2,31,208
4,2,3,1,4,4,2,2,4,2,2,5,4,4,4,4,2,4,4,4,67,2,44,200
3,3,5,5,2,4,4,3,5,4,4,1,2,3,3,5,3,1,3,1,40,1,44,241
4,5,2,1,3,1,2,4,2,2,1,4,5,3,4,3,2,1,4,4,77,1,20,329
2,2,2,3,2,2,2,3,2,2,1,3,1,1,5,2,3,4,3,2,67,1,25,102
5,2,5,5,2,5,4,5,2,4,5,2,5,5,5,5,5,5,5,5,60,1,45,99
5,5,2,4,4,2,2,4,2,2,1,5,3,2,0,2,2,4,4,4,75,1,32,178
2,2,4,1,4,1,1,4,2,2,2,2,2,1,4,2,2,4,5,2,71,2,21,181
2,2,4,1,4,1,1,4,2,2,2,2,2,1,4,2,2,4,5,2,71,1,21,205
4,2,2,1,3,1,2,5,3,2,1,5,1,2,4,2,1,5,4,4,76,1,45,459
3,4,5,1,4,2,1,1,5,2,2,2,2,1,4,5,2,2,5,1,60,1,27,208
3,4,3,2,3,3,3,4,3,2,3,3,4,4,3,3,4,3,2,3,64,2,20,219
5,4,1,2,2,1,1,4,2,2,1,4,5,1,4,4,2,4,5,2,80,1,18,182
5,4,2,3,2,1,1,4,2,2,1,4,4,1,2,4,2,5,5,2,76,1,18,139
2,3,5,4,2,5,4,2,5,4,2,3,1,3,2,5,1,3,5,1,42,1,29,143
1,5,5,5,2,4,5,3,5,5,2,1,2,4,5,5,3,2,5,1,44,1,29,140
5,4,3,2,4,2,2,4,2,2,2,4,4,2,4,2,2,4,4,2,76,1,26,254
3,3,1,2,4,2,2,3,2,2,2,4,3,3,3,3,3,3,3,2,69,1,40,163
2,4,4,3,2,3,2,1,5,3,4,4,1,3,3,1,2,4,4,4,57,1,28,362
4,2,3,2,4,2,1,5,2,2,2,5,4,2,4,2,3,4,5,2,78,1,18,88
2,1,4,3,4,2,0,3,2,0,2,4,3,4,4,2,2,5,5,5,73,1,48,276
4,3,2,1,5,2,2,2,3,4,1,4,2,2,3,2,2,3,4,0,67,1,32,136
5,5,4,2,4,5,1,4,4,2,2,3,2,2,1,4,1,5,5,5,68,1,36,205
2,2,5,3,1,2,2,4,5,4,1,4,1,4,2,4,4,2,4,1,51,1,25,171
2,4,5,4,2,5,3,3,0,4,2,2,1,3,4,4,4,4,1,2,53,1,34,493
2,2,2,1,5,2,2,5,1,3,1,3,5,1,3,2,2,3,4,4,77,1,35,161
4,4,3,3,4,3,1,2,3,3,2,4,3,3,2,2,2,4,4,2,66,2,29,108
4,5,4,1,3,2,2,4,2,2,1,5,4,2,4,2,2,4,3,4,78,2,27,224
4,3,2,5,2,2,2,2,4,2,2,3,1,4,5,4,1,3,4,2,57,1,27,139
3,4,2,4,4,2,1,2,4,3,2,2,4,3,4,2,2,4,5,3,68,1,22,172
5,3,2,1,2,3,3,2,4,2,1,3,4,2,3,2,2,3,5,2,68,1,20,128
2,3,4,3,5,4,4,2,5,5,2,2,2,3,5,4,2,4,4,1,52,1,22,184
5,5,3,2,5,2,2,4,4,2,1,2,4,2,5,2,5,4,5,1,79,1,22,284
2,3,4,4,3,1,2,3,3,2,2,2,2,1,4,2,3,4,5,2,66,1,20,125
4,3,2,1,4,5,2,4,2,2,1,4,4,2,4,1,1,2,4,4,74,1,21,153
1,5,3,5,5,5,5,2,4,4,2,0,4,2,2,5,2,4,5,5,54,2,28,138
3,5,2,2,4,3,2,3,3,4,2,3,3,2,3,3,2,3,4,3,67,1,20,107
4,4,1,2,4,1,1,2,2,4,0,4,1,4,4,5,2,3,5,1,68,1,30,94
5,3,4,2,3,3,2,1,5,4,1,4,4,1,3,3,1,4,5,4,66,3,21,145
2,1,4,4,2,4,4,2,5,5,2,2,2,3,2,2,4,2,4,2,46,2,50,560
